Node,Syndicate,HQ Prefecture,HQ City
N1,Rokudaime Yamaguchi-gumi,Mie,Yokkaichi
N2,Matsuba-kai,Tokyo,Shinjuku
N3,Kobe Yamaguchi-gumi,Hyogo,Kobe
N4,Matsuba-kai,Gunma,Takasaki
N5,Ninkyō Yamaguchi-gumi,Hyogo,Kobe
N6,Inagawa-kai,Shizuoka,Shizuoka
N7,Rokudaime Yamaguchi-gumi,Tochigi,Utsunomiya
N8,Rokudaime Yamaguchi-gumi,Hokkaido,Sapporo
N9,Kobe Yamaguchi-gumi,Hyogo,Amagasaki
N10,Ninkyō Yamaguchi-gumi,Hyogo,Amagasaki
N11,Rokudaime Yamaguchi-gumi,Osaka,Sakai
N12,Sumiyoshi-kai,Tokyo,Shinjuku
N13,Kobe Yamaguchi-gumi,Hokkaido,Sapporo
N14,Rokudaime Yamaguchi-gumi,Toyama,Toyama
N15,Inagawa-kai,Chiba,Matsudo
N16,Rokudaime Yamaguchi-gumi,Ibaraki,Koga
N17,Kobe Yamaguchi-gumi,Nagasaki,Sasebo
N18,Rokudaime Yamaguchi-gumi,Aichi,Toyohashi
N19,Kobe Yamaguchi-gumi,Osaka,Settsu
N20,Rokudaime Yamaguchi-gumi,Kyoto,Kyoto
N21,Kobe Yamaguchi-gumi,Okayama,Okayama
N22,Kobe Yamaguchi-gumi,Osaka,Moriguchi
N23,Kobe Yamaguchi-gumi,Toyama,Imizu
N24,Inagawa-kai,Kanagawa,Fujisawa
N25,Kobe Yamaguchi-gumi,Hyogo,Kobe
N26,Kobe Yamaguchi-gumi,Ibaraki,Mito
N27,Rokudaime Yamaguchi-gumi,Fukuoka,Fukuoka
N28,Rokudaime Yamaguchi-gumi,Tokyo,Shinjuku
N29,Kobe Yamaguchi-gumi,Tokyo,Shinjuku
N30,Inagawa-kai,Kanagawa,Chigasaki
N31,Rokudaime Yamaguchi-gumi,Aichi,Nagoya
N32,Inagawa-kai,Tokyo,Minato
N33,Rokudaime Yamaguchi-gumi,Miyazaki,Miyazaki
N34,Sumiyoshi-kai,Tokyo,Shinjuku
N35,Kobe Yamaguchi-gumi,Osaka,Sakai
N36,Kobe Yamaguchi-gumi,Nagano,Ueda
N37,Rokudaime Yamaguchi-gumi,Osaka,Osaka
