date,attacker,victim,attacker_synd,victim_synd,attacker_geo,victim_geo
1/2/2014,N72,N15,Sumiyoshi-kai,Inagawa-kai,Chiba,Chiba
3/1/2014,N12,N166,Sumiyoshi-kai,Inagawa-kai,Tokyo,Kanagawa
3/8/2014,N112,N163,Inagawa-kai,Inagawa-kai,Yamanashi,Yamanashi
4/14/2014,N119,N108,Sumiyoshi-kai,Inagawa-kai,Tochigi,Tochigi
4/15/2014,N118,N43,Inagawa-kai,Sumiyoshi-kai,Tochigi,Tokyo
8/21/2014,N86,N141,Sumiyoshi-kai,Rokudaime Yamaguchi-gumi,Saitama,Tokyo
9/7/2014,N43,N112,Sumiyoshi-kai,Inagawa-kai,Tokyo,Yamanashi
9/25/2014,N163,N112,Inagawa-kai,Inagawa-kai,Yamanashi,Yamanashi
11/27/2014,N163,N112,Inagawa-kai,Inagawa-kai,Yamanashi,Yamanashi
12/6/2014,N163,N112,Inagawa-kai,Inagawa-kai,Yamanashi,Yamanashi
3/21/2015,N123,N78,Inagawa-kai,Rokudaime Yamaguchi-gumi,Kanagawa,Kanagawa
10/6/2015,N148,N149,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Nagano,Nagano
10/17/2015,N131,N46,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Aichi,Aichi
10/18/2015,N46,N131,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Aichi,Aichi
11/6/2015,N25,N113,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Hyogo,Tottori
11/15/2015,N158,N1,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Mie,Mie
11/15/2015,N46,N131,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Aichi,Aichi
11/20/2015,N59,N2,Sumiyoshi-kai,Matsuba-kai,Tokyo,Tokyo
11/20/2015,N2,N59,Matsuba-kai,Sumiyoshi-kai,Tokyo,Tokyo
1/9/2016,N27,N60,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Fukuoka,Oita
1/9/2016,N60,N27,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Oita,Fukuoka
1/27/2016,N114,N142,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Nagano,Nagano
1/27/2016,N115,N167,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Saitama,Kanagawa
2/15/2016,N28,N29,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Tokyo,Tokyo
2/20/2016,N40,N68,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Mie,Mie
2/23/2016,N77,N74,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Fukui,Fukui
2/25/2016,N38,N133,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Nagano,Nagano
2/26/2016,N167,N137,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Kanagawa,Shizuoka
2/27/2016,N167,N115,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Kanagawa,Saitama
2/27/2016,N152,N167,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Kanagawa,Kanagawa
2/27/2016,N155,N167,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Kanagawa,Kanagawa
2/29/2016,N81,N129,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Toyama,Toyama
3/1/2016,N143,N104,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Osaka,Osaka
3/3/2016,N89,N66,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Hokkaido,Hokkaido
3/3/2016,N169,N7,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Tokyo,Tochigi
3/4/2016,N164,N134,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Nagano,Nagano
3/4/2016,N109,N52,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Ehime,Ehime
3/4/2016,N23,N14,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Toyama,Toyama
3/5/2016,N68,N40,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Mie,Mie
3/5/2016,N85,N26,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Ibaraki,Ibaraki
3/6/2016,N85,N26,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Ibaraki,Ibaraki
3/10/2016,N68,N62,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Mie,Mie
3/14/2016,N81,N129,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Toyama,Toyama
3/16/2016,N115,N136,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Saitama,Saitama
3/16/2016,N22,N69,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Osaka,Osaka
3/16/2016,N69,N22,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Osaka,Osaka
3/17/2016,N26,N76,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Ibaraki,Ibaraki
3/17/2016,N35,N11,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Osaka,Osaka
3/18/2016,N63,N16,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Ibaraki,Ibaraki
3/19/2016,N11,N125,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Osaka,Hyogo
3/20/2016,N87,N92,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Wakayama,Osaka
3/25/2016,N107,N50,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Osaka,Osaka
3/27/2016,N66,N45,Kobe Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Hokkaido,Hokkaido
3/29/2016,N37,N51,Rokudaime Yamaguchi-gumi,Rokudaime Yamaguchi-gumi,Osaka,Kyoto
4/12/2016,N134,N36,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Nagano,Nagano
4/12/2016,N50,N56,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Osaka,Osaka
4/13/2016,N89,N66,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Hokkaido,Hokkaido
5/31/2016,N161,N126,Rokudaime Yamaguchi-gumi,Kobe Yamaguchi-gumi,Aichi,Okayama
